2022-01-22 10:34:54,250:__init__:INFO:Connection created successfully!
2022-01-22 10:34:54,257:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922c'), 'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922d'), 'sepal_length': 4.9, 'sepal_width': 3.0, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922e'), 'sepal_length': 4.7, 'sepal_width': 3.2, 'petal_length': 1.3, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922f'), 'sepal_length': 4.6, 'sepal_width': 3.1, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9230'), 'sepal_length': 5.0, 'sepal_width': 3.6, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9231'), 'sepal_length': 5.4, 'sepal_width': 3.9, 'petal_length': 1.7, 'petal_width': 0.4, 'species': 'setosa'}
2022-01-22 10:34:54,258:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9232'), 'sepal_length': 4.6, 'sepal_width': 3.4, 'petal_length': 1.4, 'petal_width': 0.3, 'species': 'setosa'}
2022-01-22 10:34:54,259:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9233'), 'sepal_length': 5.0, 'sepal_width': 3.4, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,259:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9234'), 'sepal_length': 4.4, 'sepal_width': 2.9, 'petal_length': 1.4, 'petal_width': 0.2, 'species': 'setosa'}
2022-01-22 10:34:54,259:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9235'), 'sepal_length': 4.9, 'sepal_width': 3.1, 'petal_length': 1.5, 'petal_width': 0.1, 'species': 'setosa'}
2022-01-22 10:34:54,259:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9236'), 'sepal_length': 5.4, 'sepal_width': 3.7, 'petal_length': 1.5, 'petal_width': 0.2, 'species': 'setosa'}
