,_id,sepal_length,sepal_width,petal_length,petal_width,species
0,61ea3bb942288f0cd04e922c,5.1,3.5,1.4,0.2,setosa
1,61ea3bb942288f0cd04e922d,4.9,3.0,1.4,0.2,setosa
2,61ea3bb942288f0cd04e922e,4.7,3.2,1.3,0.2,setosa
3,61ea3bb942288f0cd04e922f,4.6,3.1,1.5,0.2,setosa
4,61ea3bb942288f0cd04e9230,5.0,3.6,1.4,0.2,setosa
5,61ea3bb942288f0cd04e9231,5.4,3.9,1.7,0.4,setosa
6,61ea3bb942288f0cd04e9232,4.6,3.4,1.4,0.3,setosa
7,61ea3bb942288f0cd04e9233,5.0,3.4,1.5,0.2,setosa
8,61ea3bb942288f0cd04e9234,4.4,2.9,1.4,0.2,setosa
9,61ea3bb942288f0cd04e9235,4.9,3.1,1.5,0.1,setosa
10,61ea3bb942288f0cd04e9236,5.4,3.7,1.5,0.2,setosa
11,61ea3bb942288f0cd04e9237,4.8,3.4,1.6,0.2,setosa
12,61ea3bb942288f0cd04e9238,4.8,3.0,1.4,0.1,setosa
13,61ea3bb942288f0cd04e9239,4.3,3.0,1.1,0.1,setosa
14,61ea3bb942288f0cd04e923a,5.8,4.0,1.2,0.2,setosa
15,61ea3bb942288f0cd04e923b,5.7,4.4,1.5,0.4,setosa
16,61ea3bb942288f0cd04e923c,5.4,3.9,1.3,0.4,setosa
17,61ea3bb942288f0cd04e923d,5.1,3.5,1.4,0.3,setosa
18,61ea3bb942288f0cd04e923e,5.7,3.8,1.7,0.3,setosa
19,61ea3bb942288f0cd04e923f,5.1,3.8,1.5,0.3,setosa
20,61ea3bb942288f0cd04e9240,5.4,3.4,1.7,0.2,setosa
21,61ea3bb942288f0cd04e9241,5.1,3.7,1.5,0.4,setosa
22,61ea3bb942288f0cd04e9242,4.6,3.6,1.0,0.2,setosa
23,61ea3bb942288f0cd04e9243,5.1,3.3,1.7,0.5,setosa
24,61ea3bb942288f0cd04e9244,4.8,3.4,1.9,0.2,setosa
25,61ea3bb942288f0cd04e9245,5.0,3.0,1.6,0.2,setosa
