2022-01-22 10:35:49,167:__init__:INFO:Connection created successfully!
2022-01-22 10:35:49,168:view_data:ERROR:'Collection' object is not callable. If you meant to call the 'createView' method on a 'Database' object it is failing because no such method exists.
2022-01-22 10:35:49,175:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922c'), 'sepal_width': 3.5, 'petal_width': 0.2}
2022-01-22 10:35:49,176:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922d'), 'sepal_width': 3.0, 'petal_width': 0.2}
2022-01-22 10:35:49,177:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922e'), 'sepal_width': 3.2, 'petal_width': 0.2}
2022-01-22 10:35:49,177:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e922f'), 'sepal_width': 3.1, 'petal_width': 0.2}
2022-01-22 10:35:49,178:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9230'), 'sepal_width': 3.6, 'petal_width': 0.2}
2022-01-22 10:35:49,179:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9231'), 'sepal_width': 3.9, 'petal_width': 0.4}
2022-01-22 10:35:49,179:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9232'), 'sepal_width': 3.4, 'petal_width': 0.3}
2022-01-22 10:35:49,180:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9233'), 'sepal_width': 3.4, 'petal_width': 0.2}
2022-01-22 10:35:49,181:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9234'), 'sepal_width': 2.9, 'petal_width': 0.2}
2022-01-22 10:35:49,181:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9235'), 'sepal_width': 3.1, 'petal_width': 0.1}
2022-01-22 10:35:49,182:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9236'), 'sepal_width': 3.7, 'petal_width': 0.2}
2022-01-22 10:35:49,183:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9237'), 'sepal_width': 3.4, 'petal_width': 0.2}
2022-01-22 10:35:49,184:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9238'), 'sepal_width': 3.0, 'petal_width': 0.1}
2022-01-22 10:35:49,185:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e9239'), 'sepal_width': 3.0, 'petal_width': 0.1}
2022-01-22 10:35:49,185:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923a'), 'sepal_width': 4.0, 'petal_width': 0.2}
2022-01-22 10:35:49,186:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923b'), 'sepal_width': 4.4, 'petal_width': 0.4}
2022-01-22 10:35:49,187:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923c'), 'sepal_width': 3.9, 'petal_width': 0.4}
2022-01-22 10:35:49,187:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923d'), 'sepal_width': 3.5, 'petal_width': 0.3}
2022-01-22 10:35:49,188:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923e'), 'sepal_width': 3.8, 'petal_width': 0.3}
2022-01-22 10:35:49,189:show_all:INFO:{'_id': ObjectId('61ea3bb942288f0cd04e923f'), 'sepal_width': 3.8, 'petal_width': 0.3}
